date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:21	1923/1923	---M--	200	added ('OK')	image/png	etag:%223890f-783-4ef923805a3c0%22	http://www.nrccorp.com/pics/global_leader.png	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/pics/global_leader.png	(from http://www.nrccorp.com/)
13:22:22	2553/2553	---M--	200	added ('OK')	image/png	etag:%2238901-9f9-4efa0a9b72300%22	http://www.nrccorp.com/pics/top_tag.png	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/pics/top_tag.png	(from http://www.nrccorp.com/)
13:22:22	5510/5510	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:12%20GMT	http://www.nrccorp.com/fisheries.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/fisheries.html	(from http://www.nrccorp.com/)
13:22:22	5111/5111	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:12%20GMT	http://www.nrccorp.com/environ.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/environ.html	(from http://www.nrccorp.com/)
13:22:22	5260/5260	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:12%20GMT	http://www.nrccorp.com/economic.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/economic.html	(from http://www.nrccorp.com/)
13:22:22	5577/5577	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:12%20GMT	http://www.nrccorp.com/witness.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/witness.html	(from http://www.nrccorp.com/)
13:22:23	5940/5940	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:13%20GMT	http://www.nrccorp.com/investigation.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/investigation.html	(from http://www.nrccorp.com/)
13:22:23	5105/5105	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:13%20GMT	http://www.nrccorp.com/infrastructure.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/infrastructure.html	(from http://www.nrccorp.com/)
13:22:23	9313/9313	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:13%20GMT	http://www.nrccorp.com/gear.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/gear.html	(from http://www.nrccorp.com/)
13:22:23	5908/5908	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:13%20GMT	http://www.nrccorp.com/cable.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/cable.html	(from http://www.nrccorp.com/)
13:22:24	5595/5595	---M-Z	200	added ('OK')	text/html	date:Fri,%2011%20Sep%202015%2021:47:13%20GMT	http://www.nrccorp.com/energy.php	C:/My%20Web%20Sites/NRCCorpWebsite/www.nrccorp.com/energy.html	(from http://www.nrccorp.com/)
